Spec Number,Spec Name,Para,Sub Section Heading,Submittal Type,Submittal Description,Submittal Summary
75423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-3,ROOFING INSTALLER'S WARRANTY,Warranty,"3. Roofing Installer is responsible for damage to work covered by this Warranty but is not 
liable for consequential damages to building or building contents resulting from leaks or 
faults or defects of work.", Roofing Install
75423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-4,ROOFING INSTALLER'S WARRANTY,Warranty,"4. During Warranty Period, if Owner allows alteration of work by anyone other than 
Roofing Installer, including cutting, patching, and maintenance in connection with 
penetrations, attachment of other work, and positioning of anything on roof, this 
Warranty shall become null and void on date of said alterations, but only to the extent 
said alterations affect work covered by this Warranty. If Owner engages Roofing Installer 
to perform said alterations, Warranty shall not become null and void unless Roofing 
Installer, before starting said work, shall have notified Owner in writing, showing 
reasonable cause for claim, that said alterations would likely damage or deteriorate work, 
thereby reasonably justifyinga limitation or termination of this Warranty.", Roofing Install
75423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-5,ROOFING INSTALLER'S WARRANTY,Warranty,"5. During Warranty Period, if original use of roof is changed and it becomes used for, but 
was not originally specified for, a promenade, work deck, spray-cooled surface, flooded 
basin, or other use or service more severe than originally specified, this Warranty shall 
become null and void on date of said change, but only to the extent said change affects 
work covered by this Warranty.", During Warranty
75423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-6,ROOFING INSTALLER'S WARRANTY,Warranty,"6. Owner shall promptly notify Roofing Installer of observed, known, or suspected leaks, 
defects, or deterioration and shall afford reasonable opportunity for Roofing Installer to 
inspect work and to examine evidence of such leaks, defects, or deterioration.", Owner shall promptly
75423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-7,ROOFING INSTALLER'S WARRANTY,Warranty,"7. This Warranty is recognized to be the only warranty of Roofing Installer on said work 
and shall not operate to restrict or cut off Owner from other remedies and resources 
lawfully available to Owner in cases of roofing failure. Specifically, this Warranty shall 
not operate to relieve Roofing Installer of responsibility for performance of original work 
according to requirements of the Contract Documents, regardless of whether Contract 
wasa contract directly with Owner ora subcontract with Owner's General Contractor.", Roofing Install
75423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-E-1,ROOFING INSTALLER'S WARRANTY,Warranty,1. Authorized Signature: _______________________________________., Authorized Signature
75423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-E-2,ROOFING INSTALLER'S WARRANTY,Warranty,2. Name: ______________________________________., Name:</s>
75423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-E-3,ROOFING INSTALLER'S WARRANTY,Warranty,3. Title: _______________________________________., Title:</s>
77200,ROOF ACCESSORIES,1.4-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes.", Include construction details
77200,ROOF ACCESSORIES,1.4-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, keyed details, and attachments to other work. Indicate 
dimensions, loadings, and special conditions. Distinguish between plant- and field- 
assembled work.", Include plans elevation
77200,ROOF ACCESSORIES,1.4-C,ACTION SUBMITTALS,Samples,"Samples : For each exposed product and for each color and texture specified, prepared on 
Samples of size to adequately show color.", Samples Size
77200,ROOF ACCESSORIES,1.4-D-1,ACTION SUBMITTALS,Delegated-Design Submittal,"1. Detail mounting, securing, and flashing of roof-mounted items to roof structure. Indicate 
coordinating requirements with roof membrane system.", detail mounting 
77200,ROOF ACCESSORIES,1.4-D-2,ACTION SUBMITTALS,Delegated-Design Submittal,"2. Wind-Restraint Details: Detail fabrication and attachment of wind restraints. Show 
anchorage details and indicate quantity, diameter, and depth of penetration of anchors.", WindRes
77200,ROOF ACCESSORIES,1.5-A-1,INFORMATIONAL SUBMITTALS,Coordination Drawings,1. Size and location of roof accessories specified in this Section., Size location roof
77200,ROOF ACCESSORIES,1.5-A-2,INFORMATIONAL SUBMITTALS,Coordination Drawings,2. Method of attaching roof accessories to roof or building structure., Method of attach
77200,ROOF ACCESSORIES,1.5-A-3,INFORMATIONAL SUBMITTALS,Coordination Drawings,"3. Other roof-mounted items including mechanical and electrical equipment, ductwork, 
piping, and conduit. (not being provided by equipment manufacturers)", Other roofmounted
77200,ROOF ACCESSORIES,1.5-A-4,INFORMATIONAL SUBMITTALS,Coordination Drawings,4. Required clearances., Require
77200,ROOF ACCESSORIES,1.5-B,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranties : For manufacturer's special warranties., Sample Warrant
77200,ROOF ACCESSORIES,1.6-A,CLOSEOUT SUBMITTALS,O&M Manuals,"Operation and Maintenance Data : For roof accessories to include in operation and maintenance 
manuals.", Operation Maintenance
77200,ROOF ACCESSORIES,1.7-A-1,WARRANTY,Special Warranty,"1. Fluoropolymer Finish: Deterioration includes, but is not limited to, the following: 
a. Color fading more than 5 Delta E units when tested according to ASTM D2244. 
b. Chalking in excess ofa No. 8 rating when tested according to ASTM D4214. 
c. Cracking, checking, peeling, or failure of paint to adhere to bare metal.", Fluoro
77200,ROOF ACCESSORIES,1.7-A-2,WARRANTY,Special Warranty,2. Finish Warranty Period: 10 years from date of Substantial Completion., Finish Warranty Period
77200,ROOF ACCESSORIES,2.1-B,PERFORMANCE REQUIREMENTS,Delegated-Design Submittal,"Delegated Design : Engagea qualified professional engineer, as defined in Section 014000 
""Quality Requirements,"" to design roof curbs and equipment supports to comply with wind
performance requirements, including comprehensive engineering analysis bya qualified
professional engineer, using performance requirements and design criteria indicated.", Delegated
78100,APPLIED FIRE PROTECTION,1.4-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Review products, design ratings, restrained and unrestrained conditions, densities, 
thicknesses, bond strengths, and other performance requirements.", review products design
78100,APPLIED FIRE PROTECTION,1.5-A-1,ACTION SUBMITTALS,Product Data,1. Sprayed fire-resistive material., Sprayed fire
78100,APPLIED FIRE PROTECTION,1.5-A-2,ACTION SUBMITTALS,Product Data,2. Substrate primers., Subst
78100,APPLIED FIRE PROTECTION,1.5-A-3,ACTION SUBMITTALS,Product Data,3. Bonding agent., Bonding agent
78100,APPLIED FIRE PROTECTION,1.5-A-4,ACTION SUBMITTALS,Product Data,4. Metal lath., Metal lath
78100,APPLIED FIRE PROTECTION,1.5-A-5,ACTION SUBMITTALS,Product Data,5. Reinforcing fabric., Reinforc
78100,APPLIED FIRE PROTECTION,1.5-A-6,ACTION SUBMITTALS,Product Data,6. Sealer., Sealer:
78100,APPLIED FIRE PROTECTION,1.5-A-7,ACTION SUBMITTALS,Product Data,7. Topcoat., Topcoat:
78100,APPLIED FIRE PROTECTION,1.5-B-1,ACTION SUBMITTALS,Shop Drawings,1. Extent of fire protection for each construction and fire-resistance rating., Extent protection
78100,APPLIED FIRE PROTECTION,1.5-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Applicable fire-resistance design designations ofa qualified testing and inspecting 
agency acceptable to authorities having jurisdiction. 
", Applicable
78100,APPLIED FIRE PROTECTION,1.5-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Minimum sprayed fire-resistive material thicknesses needed to achieve required fire- 
resistance rating of each structural component and assembly.", minimum s
78100,APPLIED FIRE PROTECTION,1.5-B-4,ACTION SUBMITTALS,Shop Drawings,4. Treatment of sprayed fire-resistive material after application., Treatment s
78100,APPLIED FIRE PROTECTION,1.6-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer and testing agency., Qualification Data For
78100,APPLIED FIRE PROTECTION,1.6-B,INFORMATIONAL SUBMITTALS,Certificates,Product Certificates : For each type of sprayed fire-resistive material., Product Certificates
78100,APPLIED FIRE PROTECTION,1.6-C,INFORMATIONAL SUBMITTALS,Reports,"Evaluation Reports : For sprayed fire-resistive material, from ICC-ES.", ICCES
78100,APPLIED FIRE PROTECTION,1.6-D,INFORMATIONAL SUBMITTALS,Test Reports,Preconstruction Test Reports : For fire protection., Preconstruction Test
78100,APPLIED FIRE PROTECTION,1.6-E,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports., Field qualitycontrol
78100,APPLIED FIRE PROTECTION,3.3-K,APPLICATION,Mockups,"Providea uniform finish complying with description indicated for each type of fire protection
material and matching finish approved for required mockups.",. Provide
78413,PENETRATION FIRESTOPPING,1.5-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site., Preinstallation Conference
78413,PENETRATION FIRESTOPPING,1.6-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product., Product Data For
78413,PENETRATION FIRESTOPPING,1.6-B-1,ACTION SUBMITTALS,Product Schedule,"1. Engineering Judgments: Where Project conditions require modification toa qualified 
testing and inspecting agency's illustration fora particular penetration firestopping 
system, submit illustration, with modifications marked, approved by penetration 
firestopping system manufacturer's fire-protection engineer as an engineering judgment 
 
or equivalent fire-resistance-rated assembly. Obtain approval of authorities having 
jurisdiction prior to submittal.", engineering judgment equivalent
78413,PENETRATION FIRESTOPPING,1.7-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer., Qualification Data For
78413,PENETRATION FIRESTOPPING,1.7-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each penetration firestopping system, for tests performed bya 
qualified testing agency.", qualified testing agency
78413,PENETRATION FIRESTOPPING,1.8-A,CLOSEOUT SUBMITTALS,Certificates,"Installer Certificates : From Installer indicating that penetration firestopping systems have been 
installed in compliance with requirements and manufacturer's written instructions.", Installer Certificate
78443,JOINT FIRESTOPPING,1.3-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site., Preinstallation Conference
78443,JOINT FIRESTOPPING,1.4-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product., Product Data For
78443,JOINT FIRESTOPPING,1.4-B-1,ACTION SUBMITTALS,Product Schedule,"1. Engineering Judgments: Where Project conditions require modification toa qualified 
testing agency's illustration fora particular joint firestopping system condition, submit 
illustration, with modifications marked, approved by joint firestopping system 
manufacturer's fire-protection engineer as an engineering judgment or equivalent fire- 
resistance-rated assembly.", Engineering Jud
78443,JOINT FIRESTOPPING,1.5-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer., Qualification Data For
78443,JOINT FIRESTOPPING,1.5-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each joint firestopping system, for tests performed bya qualified 
testing agency.", qualified testing agency
78443,JOINT FIRESTOPPING,1.6-A,CLOSEOUT SUBMITTALS,Certificates,"Installer Certificates : From Installer indicating that joint firestopping systems have been 
installed in compliance with requirements and manufacturer's written instructions.", Installer Certificate
79200,JOINT SEALANTS,1.3-A,ACTION SUBMITTALS,Product Data,Product Data : For each joint-sealant product., jointsea
79200,JOINT SEALANTS,1.3-B,ACTION SUBMITTALS,Samples,"Samples for Initial Selection : Manufacturer's color charts consisting of strips of cured sealants 
showing the full range of colors available for each product exposed to view.", Samples Initial
79200,JOINT SEALANTS,1.3-C-1,ACTION SUBMITTALS,Schedules,"1. Joint-sealant application, joint location, and designation.", Jointse
79200,JOINT SEALANTS,1.3-C-2,ACTION SUBMITTALS,Schedules,2. Joint-sealant manufacturer and product name., Jointse
79200,JOINT SEALANTS,1.3-C-3,ACTION SUBMITTALS,Schedules,3. Joint-sealant formulation., Jointse
79200,JOINT SEALANTS,1.3-C-4,ACTION SUBMITTALS,Schedules,4. Joint-sealant color., Jointse
79200,JOINT SEALANTS,1.4-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For qualified testing agency., Qualification Data For
79200,JOINT SEALANTS,1.4-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each kind of joint sealant, for tests performed bya qualified testing 
agency.", qualified testing agency
79200,JOINT SEALANTS,1.4-C-1,INFORMATIONAL SUBMITTALS,Schedules,1. Joint-sealant location and designation., Jointse
79200,JOINT SEALANTS,1.4-C-2,INFORMATIONAL SUBMITTALS,Schedules,2. Manufacturer and product name., Manufacturer product name
79200,JOINT SEALANTS,1.4-C-3,INFORMATIONAL SUBMITTALS,Schedules,3. Type of substrate material., Type substrate material
79200,JOINT SEALANTS,1.4-C-4,INFORMATIONAL SUBMITTALS,Schedules,4. Proposed test., Proposed test
79200,JOINT SEALANTS,1.4-C-5,INFORMATIONAL SUBMITTALS,Schedules,5. Number of samples required., Number of samples
79200,JOINT SEALANTS,1.4-D-1,INFORMATIONAL SUBMITTALS,Test Reports,"1. Materials forming joint substrates and joint-sealant backings have been tested for 
compatibility and adhesion with joint sealants.", jointsea
79200,JOINT SEALANTS,1.4-D-2,INFORMATIONAL SUBMITTALS,Test Reports,"2. Interpretation of test results and written recommendations for primers and substrate 
preparation are needed for adhesion.", Interpretation test
79200,JOINT SEALANTS,1.4-E,INFORMATIONAL SUBMITTALS,Test Reports,"Preconstruction Field-Adhesion-Test Reports : Indicate which sealants and joint preparation 
methods resulted in optimum adhesion to joint substrates based on testing specified in
""Preconstruction Testing"" Article.", Preconstruction Field
79200,JOINT SEALANTS,1.4-F,INFORMATIONAL SUBMITTALS,Test Reports,Field-Adhesion-Test Reports : For each sealant application tested., FieldAd
79200,JOINT SEALANTS,1.4-G,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranties : For special warranties., Sample Warrant
79200,JOINT SEALANTS,1.5-C,QUALITY ASSURANCE,Mockups,"Mockups : Install sealant in mockups of assemblies specified in other Sections that are indicated 
to receive joint sealants specified in this Section. Use materials and installation methods
specified in this Section.", Mockup
79200,JOINT SEALANTS,1.8-A-1,WARRANTY,Special Warranty,1. Warranty Period: Two years from date of Substantial Completion., Warranty Period Two
79200,JOINT SEALANTS,3.7-A-1,JOINT-SEALANT SCHEDULE,Schedules,1. Metal to Metal: Type PS-1, Metal Type PS
79200,JOINT SEALANTS,3.7-A-2,JOINT-SEALANT SCHEDULE,Schedules,2. Metal to Masonry: Type PS-1, Metal Masonry
79200,JOINT SEALANTS,3.7-A-3,JOINT-SEALANT SCHEDULE,Schedules,3. Masonry to Masonry: Type PS-1, Masonry Mason
79200,JOINT SEALANTS,3.7-A-4,JOINT-SEALANT SCHEDULE,Schedules,4. Threshold Setting Bed: Type PS-1, Thres
79200,JOINT SEALANTS,3.7-A-5,JOINT-SEALANT SCHEDULE,Schedules,5. Masonry Expansion and Control Joints: Type SS-1, Masonry Ex
79200,JOINT SEALANTS,3.7-A-6,JOINT-SEALANT SCHEDULE,Schedules,"6. Glazing Sealant: Type SS-2 
 
Sanitary Joints :", Glazing Seal
79200,JOINT SEALANTS,3.7-A-1,JOINT-SEALANT SCHEDULE,Schedules,1. Walls to Plumbing Fixtures: Type SS-2, Walls Plumbing
79200,JOINT SEALANTS,3.7-A-2,JOINT-SEALANT SCHEDULE,Schedules,2. Counter Tops to Walls: Type SS-2, Counter Tops
79200,JOINT SEALANTS,3.7-A-3,JOINT-SEALANT SCHEDULE,Schedules,3. Pipe Penetrations: Type SS-2, Pipe Penet
79200,JOINT SEALANTS,3.7-A-4,JOINT-SEALANT SCHEDULE,Schedules,"4. Joints in ISO-8 or better spaces: Type SS-2 
 
Interior Caulking :", Joints ISO
79200,JOINT SEALANTS,3.7-A-1,JOINT-SEALANT SCHEDULE,Schedules,1. Typical Narrow Joint (1/4 inch) or less at Walls and Adjacent Components: Types LS-1, Typical N
79200,JOINT SEALANTS,3.7-A-2,JOINT-SEALANT SCHEDULE,Schedules,"2. Perimeter of Doors, Windows, which Adjoin Concrete or Masonry Surfaces: Types LS-1", Perimeter
79200,JOINT SEALANTS,3.7-A-3,JOINT-SEALANT SCHEDULE,Schedules,"3. Joints at Masonry Walls, Piers, Concrete Walls or Exterior Walls: Types LS-1", Joints Mason
79200,JOINT SEALANTS,3.7-A-4,JOINT-SEALANT SCHEDULE,Schedules,4. Wallboard Walls: Types LS-1, Wallboard Wall
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes for expansion joint cover assemblies.", Include construction details
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, details, splices, block-out requirement, attachments to 
other work, and line diagrams showing entire route of each expansion joint.", Include plans elevation
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Where expansion joint cover assemblies change planes, provide isometric or clearly 
detailed drawing depicting how components interconnect.", where expansion joint
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-1,ACTION SUBMITTALS,Schedules,1. Manufacturer and model number for each expansion joint cover assembly., Manufacturer model number
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-2,ACTION SUBMITTALS,Schedules,2. Expansion joint cover assembly location cross-referenced to Drawings., Expansion
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-3,ACTION SUBMITTALS,Schedules,"3. Nominal, minimum, and maximum joint width.", Nominal
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-4,ACTION SUBMITTALS,Schedules,4. Movement direction., Movement direction:
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-5,ACTION SUBMITTALS,Schedules,"5. Materials, colors, and finishes.", Materials colors finishes
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-6,ACTION SUBMITTALS,Schedules,6. Product options., Product options:
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-7,ACTION SUBMITTALS,Schedules,7. Fire-resistance ratings., Fireres
79513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.4-A,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each fire-resistance-rated expansion joint cover assembly, for tests 
performed by manufacturer and witnessed bya qualified testing agency.", qualified testing agency
81113,HOLLOW METAL DOORS AND FRAMES,1.5-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site., Preinstallation Conference
81113,HOLLOW METAL DOORS AND FRAMES,1.6-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, core descriptions, fire-resistance 
ratings and finishes.", Include construction details
81113,HOLLOW METAL DOORS AND FRAMES,1.6-B-1,ACTION SUBMITTALS,Shop Drawings,1. Elevations of each door type., Elevations
81113,HOLLOW METAL DOORS AND FRAMES,1.6-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Details of doors, including vertical- and horizontal-edge details and metal thicknesses.", Details doors including
81113,HOLLOW METAL DOORS AND FRAMES,1.6-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Frame details for each frame type, including dimensioned profiles and metal thicknesses.", Frame details frame
81113,HOLLOW METAL DOORS AND FRAMES,1.6-B-4,ACTION SUBMITTALS,Shop Drawings,4. Locations of reinforcement and preparations for hardware., Locations Location
81113,HOLLOW METAL DOORS AND FRAMES,1.6-B-5,ACTION SUBMITTALS,Shop Drawings,5. Details of each different wall opening condition., Details different wall
81113,HOLLOW METAL DOORS AND FRAMES,1.6-B-6,ACTION SUBMITTALS,Shop Drawings,"6. Details of electrical raceway and preparation for electrified hardware, access control 
systems, and security systems.", Details electrical race
81113,HOLLOW METAL DOORS AND FRAMES,1.6-B-7,ACTION SUBMITTALS,Shop Drawings,"7. Details of anchorages, joints, field splices, and connections.", Details anchorages
81113,HOLLOW METAL DOORS AND FRAMES,1.6-B-8,ACTION SUBMITTALS,Shop Drawings,8. Details of accessories., Details Details accessories
81113,HOLLOW METAL DOORS AND FRAMES,1.6-B-9,ACTION SUBMITTALS,Shop Drawings,"9. Details of moldings, removable stops, and glazing.", Details moldings
81113,HOLLOW METAL DOORS AND FRAMES,1.6-C,ACTION SUBMITTALS,Samples,"Samples for Initial Selection : For hollow-metal doors and frames with factory-applied color 
finishes.
RFI 037 - Confirm Samples Required
for DFH, Drywall, Toilet Acc, FP", Samples Initial
81113,HOLLOW METAL DOORS AND FRAMES,1.6-D,ACTION SUBMITTALS,Samples,Samples for Verification : Cabinets_CLOSED, Samples Ver
81113,HOLLOW METAL DOORS AND FRAMES,1.6-D-1,ACTION SUBMITTALS,Samples,"Finishes: For each type of exposed finish required, prepared on Samples of not less than 3
by 5 inches.", Finishes
81113,HOLLOW METAL DOORS AND FRAMES,1.6-D-2,ACTION SUBMITTALS,Fabrication,"Fabrication: Prepare Samples approximately 12 by 12 inches to demonstrate compliance
with requirements for quality of materials and construction:
a. Doors: Show vertical-edge, top, and bottom construction; core construction; and
hinge and other applied hardware reinforcement. Include separate section showing
glazing if applicable.
b. Frames: Show profile, corner joint, floor and wall anchors, and silencers. Include
separate section showing fixed hollow-metal panels and glazing if applicable.", Fabrication Prepare
81113,HOLLOW METAL DOORS AND FRAMES,1.6-E,ACTION SUBMITTALS,Product Schedule,"Product Schedule : For hollow-metal doors and frames, prepared by or under the supervision of 
supplier, using same reference numbers for details and openings as those on Drawings.
Coordinate with final door hardware schedule.", Product Schedule For
81113,HOLLOW METAL DOORS AND FRAMES,1.7-A-1,INFORMATIONAL SUBMITTALS,Qualification Data,"1. Fire-Rated Door Inspector: Submit documentation of compliance with NFPA 80, 
Section 5.2.3.1.", FireRated
81113,HOLLOW METAL DOORS AND FRAMES,1.7-A-2,INFORMATIONAL SUBMITTALS,Qualification Data,"2. Egress Door Inspector: Submit documentation of compliance with NFPA 101, 
Section 7.2.1.15.4.", Egress Door
81113,HOLLOW METAL DOORS AND FRAMES,1.7-A-3,INFORMATIONAL SUBMITTALS,Qualification Data,3. Submit copy of DHI Fire and Egress Door Assembly Inspector (FDAI) certificate., Submit copy
81113,HOLLOW METAL DOORS AND FRAMES,1.7-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each type of fire-rated hollow-metal door and frame assembly and 
thermally rated door assemblies for tests performed bya qualified testing agency indicating
compliance with performance requirements.", qualified testing agency
81113,HOLLOW METAL DOORS AND FRAMES,1.7-C,INFORMATIONAL SUBMITTALS,Certifications,"Oversize Construction Certification : For assemblies required to be fire-rated and exceeding 
limitations of labeled assemblies.", Oversize Construction
81113,HOLLOW METAL DOORS AND FRAMES,1.7-D,INFORMATIONAL SUBMITTALS,Reports,Field quality control reports., Field quality control
81113,HOLLOW METAL DOORS AND FRAMES,1.8-A,CLOSEOUT SUBMITTALS,As-Builts,"Record Documents : For fire-rated doors, list of door numbers and applicable room name and 
number to which door accesses.", Record Documents
83113,ACCESS DOORS AND FRAMES,1.4-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, fire ratings, material descriptions, dimensions of individual 
components and profiles, and finishes.", Include construction details
83113,ACCESS DOORS AND FRAMES,1.4-B,ACTION SUBMITTALS,Product Schedule,Product Schedule : For access doors and frames., Product Schedule For
83323,OVERHEAD COILING DOORS,1.3-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components, 
profiles for slats, and finishes.", Include construction details
83323,OVERHEAD COILING DOORS,1.3-A-2,ACTION SUBMITTALS,Product Data,"2. Include rated capacities, operating characteristics, electrical characteristics, and furnished 
accessories.", Include rated
83323,OVERHEAD COILING DOORS,1.3-A-3,ACTION SUBMITTALS,Product Data,3. Include description of automatic-closing device and testing and resetting instructions., Include description automatic
83323,OVERHEAD COILING DOORS,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, and mounting details.", Include plans elevation
83323,OVERHEAD COILING DOORS,1.3-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include details of equipment assemblies, and indicate dimensions, required clearances, 
method of field assembly, components, and location and size of each field connection.", Include details equipment
83323,OVERHEAD COILING DOORS,1.3-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Include points of attachment and their corresponding static and dynamic loads imposed 
on structure.", Include points attachment
83323,OVERHEAD COILING DOORS,1.3-B-4,ACTION SUBMITTALS,Shop Drawings,"4. For exterior components, include details of provisions for assembly expansion and 
contraction and for excluding and draining moisture to the exterior.", For exterior components
83323,OVERHEAD COILING DOORS,1.3-B-5,ACTION SUBMITTALS,Shop Drawings,"5. Show locations of controls, locking devices, and other accessories.", Show locations controls
83323,OVERHEAD COILING DOORS,1.3-B-6,ACTION SUBMITTALS,Shop Drawings,"6. Include diagrams for power, signal, and control wiring.", Include diagrams
83323,OVERHEAD COILING DOORS,1.3-C-1,ACTION SUBMITTALS,Samples,1. Include similar Samples of accessories involving color selection., Include similar Sample
83323,OVERHEAD COILING DOORS,1.4-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer., Qualification Data For
83323,OVERHEAD COILING DOORS,1.4-B,INFORMATIONAL SUBMITTALS,Certifications,"Oversize Construction Certification : For door assemblies required to be fire-rated and that 
exceed size limitations of labeled assemblies.", Oversize Construction
83323,OVERHEAD COILING DOORS,1.4-C,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranty : For special warranty., Sample Warranty For
83323,OVERHEAD COILING DOORS,1.5-A,CLOSEOUT SUBMITTALS,Special Warranty,Special warranty., Special warranty:
83323,OVERHEAD COILING DOORS,1.5-B,CLOSEOUT SUBMITTALS,Maintenance Data,Maintenance Data : For overhead coiling doors to include in maintenance manuals., Maintenance Data For
83323,OVERHEAD COILING DOORS,1.5-C,CLOSEOUT SUBMITTALS,As-Builts,"Record Documents : For fire-rated doors, list of door numbers and applicable room name and 
number to which door accesses.", Record Documents
83323,OVERHEAD COILING DOORS,1.7-A-1,WARRANTY,Special Warranty,1. Warranty Period: Two years from date of Substantial Completion., Warranty Period Two
83323,OVERHEAD COILING DOORS,3.6-A-1,MAINTENANCE SERVICE,Maintenance Data,"1. Perform maintenance, including emergency callback service, during normal working 
hours.", Perform maintenance including
83323,OVERHEAD COILING DOORS,3.6-A-2,MAINTENANCE SERVICE,Maintenance Data,"2. Include 24-hour-per-day, seven-day-per-week, emergency callback service.", Include hourper
83323,OVERHEAD COILING DOORS,3.7-A,DEMONSTRATION,O&M Training And Demonstration,"Engagea factory-authorized service representative to train Owner's maintenance personnel to
adjust, operate, and maintain overhead coiling doors.", Engagea
84313,ALUMINUM-FRAMED STOREFRONTS,1.10-A-1,WARRANTY,Special Warranty,"1. Failures include, but are not limited to, the following: 
a. Structural failures, including, but not limited to, excessive deflection. 
b. Noise or vibration created by wind and thermal and structural movements. 
c. Deterioration of metals, metal finishes, and other materials beyond normal 
weathering. 
d. Water penetration through fixed glazing and framing areas. 
e. Failure of operating components. 
", failures include
84313,ALUMINUM-FRAMED STOREFRONTS,1.10-A-2,WARRANTY,Special Warranty,2. Warranty Period: 10 years from date of Substantial Completion., Warranty Period years
84313,ALUMINUM-FRAMED STOREFRONTS,1.4-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site, Preinstallation Conference
84313,ALUMINUM-FRAMED STOREFRONTS,1.5-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes.", Include construction details
84313,ALUMINUM-FRAMED STOREFRONTS,1.5-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include details of provisions for assembly expansion and contraction and for draining 
moisture occurring within the assembly to the exterior.", Include details provisions
84313,ALUMINUM-FRAMED STOREFRONTS,1.5-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include full-size isometric details of each type of vertical-to-horizontal intersection of 
aluminum-framed storefronts, showing the following: 
a. Joinery, including concealed welds. 
b. Anchorage. 
c. Expansion provisions. 
d. Glazing. 
e. Flashing and drainage. 
", storefronts
