,Spec Number,Spec Name,Para,Sub Section Heading,Submittal Type,Submittal Description,Submittal Summary
318,070150.19,PREPARATION FOR REROOFING,1.6-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product.,Product Data
319,070150.19,PREPARATION FOR REROOFING,1.6-B-1,ACTION SUBMITTALS,Temporary Roofing Submittal,"1. If temporary roof remains in place, include surface preparation requirements needed to 
receive permanent roof, and submita letter from roofing manufacturer stating acceptance 
of the temporary roof and that its inclusion does not adversely affect the new roofing 
system's resistance to fire and wind or its FM Approvals rating.",Approvals rating
320,070150.19,PREPARATION FOR REROOFING,1.7-A-1,INFORMATIONAL SUBMITTALS,Qualification Data,1. Include certificate that Installer is approved by warrantor of existing roofing system.,certificate that Installer
321,070150.19,PREPARATION FOR REROOFING,1.7-A-2,INFORMATIONAL SUBMITTALS,Qualification Data,2. Include certificate that Installer is licensed to perform asbestos abatement.,certificate that Installer
322,070150.19,PREPARATION FOR REROOFING,1.7-B-1,INFORMATIONAL SUBMITTALS,Test Reports,1. Fastener pull-out test report.,Fastener pull-out
323,070150.19,PREPARATION FOR REROOFING,1.7-C-1,INFORMATIONAL SUBMITTALS,Photos,1. Submit before Work begins.,Submit before Work
324,070150.19,PREPARATION FOR REROOFING,1.7-D,INFORMATIONAL SUBMITTALS,Landfill Records,"Landfill Records : Indicate receipt and acceptance of demolished roofing materials and 
hazardous wastes, such as asbestos-containing materials, bya landfill facility licensed to accept
them.",bya landfill facility
325,070150.19,PREPARATION FOR REROOFING,1.8-A,CLOSEOUT SUBMITTALS,Warranty,"Certified statement from existing warranted roof system stating that existing roof warranty has
not been affected by Work performed under this Section.",warranted roof system
326,071616,CRYSTALLINE WATERPROOFING,1.3-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.,Project site
327,071616,CRYSTALLINE WATERPROOFING,1.4-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, and installation instructions.",material descriptions
328,071616,CRYSTALLINE WATERPROOFING,1.5-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Applicator.,Qualification Data
329,071616,CRYSTALLINE WATERPROOFING,1.5-B,INFORMATIONAL SUBMITTALS,Certificates,"Product Certificates : For each type of waterproofing, patching, and plugging material.",Product Certificates
330,071616,CRYSTALLINE WATERPROOFING,1.5-C,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each product formulation, for tests performed by manufacturer and 
witnessed bya qualified testing agency.",Product Test Reports
331,071616,CRYSTALLINE WATERPROOFING,1.5-D,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.,Field quality-control reports
332,072726,FLUID-APPLIED MEMBRANE AIR BARRIERS,1.4-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Review air-barrier requirements and installation, special details, mockups, air-leakage 
and bond testing, air-barrier protection, and work scheduling that covers air barriers.",covers air barriers
333,072726,FLUID-APPLIED MEMBRANE AIR BARRIERS,1.5-A-1,ACTION SUBMITTALS,Product Data,"1. Include manufacturer's written instructions for evaluating, preparing, and treating each 
substrate; technical data; dry film thickness; and tested physical and performance 
properties of products.",dry film thickness
334,072726,FLUID-APPLIED MEMBRANE AIR BARRIERS,1.5-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Show locations and extent of air-barrier materials, accessories, and assemblies specific to 
Project conditions.",Project conditions
335,072726,FLUID-APPLIED MEMBRANE AIR BARRIERS,1.5-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include details for substrate joints and cracks, counterflashing strips, penetrations, inside 
and outside corners, terminations, and tie-ins with adjoining construction.",counterflashing strips
336,072726,FLUID-APPLIED MEMBRANE AIR BARRIERS,1.5-B-3,ACTION SUBMITTALS,Shop Drawings,3. Include details of interfaces with other materials that form part of air barrier.,Include details
337,072726,FLUID-APPLIED MEMBRANE AIR BARRIERS,1.6-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer.,Qualification Data
338,072726,FLUID-APPLIED MEMBRANE AIR BARRIERS,1.6-B,INFORMATIONAL SUBMITTALS,Certificates,"Product Certificates : From air-barrier manufacturer, certifying compatibility of air barriers and 
accessory materials with Project materials that connect to or that come in contact with the
barrier.",Product Certificates
339,072726,FLUID-APPLIED MEMBRANE AIR BARRIERS,1.6-C,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each air-barrier assembly, for tests performed bya qualified testing 
agency.",Product Test Reports
340,072726,FLUID-APPLIED MEMBRANE AIR BARRIERS,1.6-D,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.,Field quality-control reports
341,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.11-A-1,WARRANTY,Special Warranty,"1. Special warranty includes roof membrane, base flashings, roof insulation, fasteners, cover 
boards, vapor retarder, substrate board, roof pavers, and other components of roofing 
system.",Special warranty includes
342,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.11-A-2,WARRANTY,Special Warranty,2. Warranty Period: 20 years from date of Substantial Completion.,Substantial Completion
343,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.4-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Meet with Owner, Architect, Construction Manager, Owner's insurer if applicable, testing 
and inspecting agency representative, roofing Installer, roofing system manufacturer's 
representative, deck Installer, air barrier Installer, and installers whose work interfaces 
with or affects roofing, including installers of roof accessories and roof-mounted 
equipment.",Construction Manager
344,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.4-A-2,PREINSTALLATION MEETINGS,Meetings,"2. Review methods and procedures related to roofing installation, including manufacturer's 
written instructions.",Review methods
345,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.4-A-3,PREINSTALLATION MEETINGS,Meetings,"3. Review and finalize construction schedule, and verify availability of materials, Installer's 
personnel, equipment, and facilities needed to make progress and avoid delays.",finalize construction schedule
346,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.4-A-4,PREINSTALLATION MEETINGS,Meetings,"4. Examine deck substrate conditions and finishes for compliance with requirements, 
including flatness and fastening.",Examine deck substrate
347,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.4-A-5,PREINSTALLATION MEETINGS,Meetings,5. Review structural loading limitations of roof deck during and after roofing.,Review structural
348,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.4-A-6,PREINSTALLATION MEETINGS,Meetings,"6. Review base flashings, special roofing details, roof drainage, roof penetrations, 
equipment curbs, and condition of other construction that affects roofing system.",Review base flashings
349,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.4-A-7,PREINSTALLATION MEETINGS,Meetings,"7. Review governing regulations and requirements for insurance and certificates if 
applicable.",Review governing regulations
350,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.4-A-8,PREINSTALLATION MEETINGS,Meetings,"8. Review temporary protection requirements for roofing system during and after 
installation.",Review temporary
351,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.4-A-9,PREINSTALLATION MEETINGS,Meetings,9. Review roof observation and repair procedures after roofing installation.,Review roof
352,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-A-1,ACTION SUBMITTALS,Product Data,"1. For insulation and roof system component fasteners, include copy of FM Approvals' 
RoofNav listing.",Approvals' RoofNav listing
353,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-B-1,ACTION SUBMITTALS,Shop Drawings,1. Layout and thickness of insulation.,Layout and thickness
354,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-B-2,ACTION SUBMITTALS,Shop Drawings,2. Base flashings and membrane termination details.,Base flashings
355,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-B-3,ACTION SUBMITTALS,Shop Drawings,3. Flashing details at penetrations.,Flashing details
356,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-B-4,ACTION SUBMITTALS,Shop Drawings,"4. Tapered insulation layout, thickness, and slopes.",thickness
357,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-B-5,ACTION SUBMITTALS,Shop Drawings,"5. Roof plan showing orientation of steel roof deck and orientation of roof membrane, 
fastening spacings, and patterns for mechanically fastened roofing system.",fastened roofing system
358,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-B-6,ACTION SUBMITTALS,Shop Drawings,"6. Insulation fastening patterns for corner, perimeter, and field-of-roof locations.",perimeter
359,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-B-7,ACTION SUBMITTALS,Shop Drawings,7. Tie-in with adjoining air barrier.,Tie-in with adjoining
360,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-C-1,ACTION SUBMITTALS,Samples,"1. Roof membrane and flashings, of color required.",Roof membrane
361,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-C-2,ACTION SUBMITTALS,Samples,"2. Walkway pads or rolls, of color required.",Walkway pads
362,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.5-D,ACTION SUBMITTALS,Wind Uplift Resistance Submittal,"Wind Uplift Resistance Submittal : For roofing system, indicating compliance with wind uplift 
performance requirements.",Uplift Resistance Submittal
363,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.6-A,INFORMATIONAL SUBMITTALS,Qualification Data,"Qualification Data : For Installer, manufacturer and testing agency.",Qualification Data
364,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.6-B-1,INFORMATIONAL SUBMITTALS,Certificates,"1. Performance Requirement Certificate: Signed by roof membrane manufacturer, certifying 
that roofing system complies with requirements specified in ""Performance Requirements"" 
Article. 
a. Submit evidence of compliance with performance requirements.",Performance Requirement Certificate
365,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.6-B-2,INFORMATIONAL SUBMITTALS,Certificates,"2. Special Warranty Certificate: Signed by roof membrane manufacturer, certifying that all 
materials supplied under this Section are acceptable for special warranty.",Special Warranty Certificate
366,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.6-C,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For roof membrane and insulation, for tests performed bya qualified 
testing agency, indicating compliance with specified requirements.",Product Test Reports
367,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.6-D,INFORMATIONAL SUBMITTALS,Reports,"Evaluation Reports : For components of roofing system, from ICC-ES.",Evaluation Reports
368,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.6-E-1,INFORMATIONAL SUBMITTALS,Test Reports,1. Concrete internal relative humidity test reports.,Concrete internal
369,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.6-E-2,INFORMATIONAL SUBMITTALS,Test Reports,"2. Fastener-pullout test results and manufacturer's revised requirements for fastener 
patterns.",Fastener-pullout test
370,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.6-F,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.,Field quality-control reports
371,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.6-G,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranties : For manufacturer's special warranties.,manufacturer special warranties
372,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.7-A,CLOSEOUT SUBMITTALS,Maintenance Data,Maintenance Data : For roofing system to include in maintenance manuals.,Maintenance Data
373,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,1.7-B,CLOSEOUT SUBMITTALS,Warranty,"Certified statement from existing roof membrane manufacturer stating that existing roof
warranty has not been affected by Work performed under this Section.",membrane manufacturer stating
374,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-A-1,ROOFING INSTALLER'S WARRANTY,Warranty,1. Owner:,Owner
375,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-A-2,ROOFING INSTALLER'S WARRANTY,Warranty,2. Address:,Address
376,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-A-3,ROOFING INSTALLER'S WARRANTY,Warranty,3. Building Name/Type:,Type
377,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-A-4,ROOFING INSTALLER'S WARRANTY,Warranty,4. Address:,Address
378,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-A-5,ROOFING INSTALLER'S WARRANTY,Warranty,5. Area of Work:,Area of Work
379,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-A-6,ROOFING INSTALLER'S WARRANTY,Warranty,6. Acceptance Date: _________________.,Acceptance Date
380,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-A-7,ROOFING INSTALLER'S WARRANTY,Warranty,7. Warranty Period:,Warranty Period
381,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-A-8,ROOFING INSTALLER'S WARRANTY,Warranty,8. Expiration Date: __________________.,Expiration Date
382,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-B,ROOFING INSTALLER'S WARRANTY,Warranty,"AND WHEREAS Roofing Installer has contracted (either directly with Owner or indirectly asa
subcontractor) to warrant said work against leaks and faulty or defective materials and
workmanship for designated Warranty Period,",designated Warranty Period
383,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-C,ROOFING INSTALLER'S WARRANTY,Warranty,"NOW THEREFORE Roofing Installer hereby warrants, subject to terms and conditions herein
set forth, that during Warranty Period Roofing Installer will, at Roofing Installer's own cost and
expense, make or cause to be made such repairs to or replacements of said work as are
necessary to correct faulty and defective work and as are necessary to maintain said work ina
watertight condition.",Period Roofing Installer
384,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-1,ROOFING INSTALLER'S WARRANTY,Warranty,"1. Specifically excluded from this Warranty are damages to work and other parts of the 
building, and to building contents, caused by: 
a. lightning; 
b. peak gust wind speed exceeding 115 mph; 
c. fire; 
d. failure of roofing system substrate, including cracking, settlement, excessive 
deflection, deterioration, and decomposition; 
e. faulty construction of parapet walls, copings, chimneys, skylights, vents, 
equipment supports, and other edge conditions and penetrations of the work; 
f. vapor condensation on bottom of roofing; and 
g. activity on roofing by others, including construction contractors, maintenance 
personnel, other persons, and animals, whether authorized or unauthorized by 
Owner.",including construction contractors
385,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-2,ROOFING INSTALLER'S WARRANTY,Warranty,"2. When work has been damaged by any of foregoing causes, Warranty shall be null and 
void until such damage has been repaired by Roofing Installer and until cost and expense 
thereof have been paid by Owner or by another responsible party so designated.",Roofing Installer
386,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-3,ROOFING INSTALLER'S WARRANTY,Warranty,"3. Roofing Installer is responsible for damage to work covered by this Warranty but is not 
liable for consequential damages to building or building contents resulting from leaks or 
faults or defects of work.",Roofing Installer
387,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-4,ROOFING INSTALLER'S WARRANTY,Warranty,"4. During Warranty Period, if Owner allows alteration of work by anyone other than 
Roofing Installer, including cutting, patching, and maintenance in connection with 
penetrations, attachment of other work, and positioning of anything on roof, this 
Warranty shall become null and void on date of said alterations, but only to the extent 
said alterations affect work covered by this Warranty. If Owner engages Roofing Installer 
to perform said alterations, Warranty shall not become null and void unless Roofing 
Installer, before starting said work, shall have notified Owner in writing, showing 
reasonable cause for claim, that said alterations would likely damage or deteriorate work, 
thereby reasonably justifyinga limitation or termination of this Warranty.",Roofing Installer
388,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-5,ROOFING INSTALLER'S WARRANTY,Warranty,"5. During Warranty Period, if original use of roof is changed and it becomes used for, but 
was not originally specified for, a promenade, work deck, spray-cooled surface, flooded 
basin, or other use or service more severe than originally specified, this Warranty shall 
become null and void on date of said change, but only to the extent said change affects 
work covered by this Warranty.",Warranty Period
389,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-6,ROOFING INSTALLER'S WARRANTY,Warranty,"6. Owner shall promptly notify Roofing Installer of observed, known, or suspected leaks, 
defects, or deterioration and shall afford reasonable opportunity for Roofing Installer to 
inspect work and to examine evidence of such leaks, defects, or deterioration.",Roofing Installer
390,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-D-7,ROOFING INSTALLER'S WARRANTY,Warranty,"7. This Warranty is recognized to be the only warranty of Roofing Installer on said work 
and shall not operate to restrict or cut off Owner from other remedies and resources 
lawfully available to Owner in cases of roofing failure. Specifically, this Warranty shall 
not operate to relieve Roofing Installer of responsibility for performance of original work 
according to requirements of the Contract Documents, regardless of whether Contract 
wasa contract directly with Owner ora subcontract with Owner's General Contractor.",Owner General Contractor
391,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-E-1,ROOFING INSTALLER'S WARRANTY,Warranty,1. Authorized Signature: _______________________________________.,Authorized Signature
392,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-E-2,ROOFING INSTALLER'S WARRANTY,Warranty,2. Name: ______________________________________.,
393,075423,THERMOPLASTIC-POLYOLEFIN (TPO) ROOFING,3.13-E-3,ROOFING INSTALLER'S WARRANTY,Warranty,3. Title: _______________________________________.,Title
394,077200,ROOF ACCESSORIES,1.4-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes.",Include construction details
395,077200,ROOF ACCESSORIES,1.4-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, keyed details, and attachments to other work. Indicate 
dimensions, loadings, and special conditions. Distinguish between plant- and field- 
assembled work.",Include plans
396,077200,ROOF ACCESSORIES,1.4-C,ACTION SUBMITTALS,Samples,"Samples : For each exposed product and for each color and texture specified, prepared on 
Samples of size to adequately show color.",adequately show color
397,077200,ROOF ACCESSORIES,1.4-D-1,ACTION SUBMITTALS,Delegated-Design Submittal,"1. Detail mounting, securing, and flashing of roof-mounted items to roof structure. Indicate 
coordinating requirements with roof membrane system.",Detail mounting
398,077200,ROOF ACCESSORIES,1.4-D-2,ACTION SUBMITTALS,Delegated-Design Submittal,"2. Wind-Restraint Details: Detail fabrication and attachment of wind restraints. Show 
anchorage details and indicate quantity, diameter, and depth of penetration of anchors.",Wind-Restraint Details
399,077200,ROOF ACCESSORIES,1.5-A-1,INFORMATIONAL SUBMITTALS,Coordination Drawings,1. Size and location of roof accessories specified in this Section.,Section
400,077200,ROOF ACCESSORIES,1.5-A-2,INFORMATIONAL SUBMITTALS,Coordination Drawings,2. Method of attaching roof accessories to roof or building structure.,Method of attaching
401,077200,ROOF ACCESSORIES,1.5-A-3,INFORMATIONAL SUBMITTALS,Coordination Drawings,"3. Other roof-mounted items including mechanical and electrical equipment, ductwork, 
piping, and conduit. (not being provided by equipment manufacturers)",ductwork
402,077200,ROOF ACCESSORIES,1.5-A-4,INFORMATIONAL SUBMITTALS,Coordination Drawings,4. Required clearances.,Required clearances
403,077200,ROOF ACCESSORIES,1.5-B,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranties : For manufacturer's special warranties.,manufacturer special warranties
404,077200,ROOF ACCESSORIES,1.6-A,CLOSEOUT SUBMITTALS,O&M Manuals,"Operation and Maintenance Data : For roof accessories to include in operation and maintenance 
manuals.",Maintenance Data
405,077200,ROOF ACCESSORIES,1.7-A-1,WARRANTY,Special Warranty,"1. Fluoropolymer Finish: Deterioration includes, but is not limited to, the following: 
a. Color fading more than 5 Delta E units when tested according to ASTM D2244. 
b. Chalking in excess ofa No. 8 rating when tested according to ASTM D4214. 
c. Cracking, checking, peeling, or failure of paint to adhere to bare metal.",Fluoropolymer Finish
406,077200,ROOF ACCESSORIES,1.7-A-2,WARRANTY,Special Warranty,2. Finish Warranty Period: 10 years from date of Substantial Completion.,Finish Warranty Period
407,077200,ROOF ACCESSORIES,2.1-B,PERFORMANCE REQUIREMENTS,Delegated-Design Submittal,"Delegated Design : Engagea qualified professional engineer, as defined in Section 014000 
""Quality Requirements,"" to design roof curbs and equipment supports to comply with wind
performance requirements, including comprehensive engineering analysis bya qualified
professional engineer, using performance requirements and design criteria indicated.",qualified professional engineer
408,078100,APPLIED FIRE PROTECTION,1.4-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Review products, design ratings, restrained and unrestrained conditions, densities, 
thicknesses, bond strengths, and other performance requirements.",Review products
409,078100,APPLIED FIRE PROTECTION,1.5-A-1,ACTION SUBMITTALS,Product Data,1. Sprayed fire-resistive material.,Sprayed fire-resistive material
410,078100,APPLIED FIRE PROTECTION,1.5-A-2,ACTION SUBMITTALS,Product Data,2. Substrate primers.,Substrate primers
411,078100,APPLIED FIRE PROTECTION,1.5-A-3,ACTION SUBMITTALS,Product Data,3. Bonding agent.,Bonding agent
412,078100,APPLIED FIRE PROTECTION,1.5-A-4,ACTION SUBMITTALS,Product Data,4. Metal lath.,Metal lath
413,078100,APPLIED FIRE PROTECTION,1.5-A-5,ACTION SUBMITTALS,Product Data,5. Reinforcing fabric.,Reinforcing fabric
414,078100,APPLIED FIRE PROTECTION,1.5-A-6,ACTION SUBMITTALS,Product Data,6. Sealer.,Sealer
415,078100,APPLIED FIRE PROTECTION,1.5-A-7,ACTION SUBMITTALS,Product Data,7. Topcoat.,Topcoat
416,078100,APPLIED FIRE PROTECTION,1.5-B-1,ACTION SUBMITTALS,Shop Drawings,1. Extent of fire protection for each construction and fire-resistance rating.,Extent of fire
417,078100,APPLIED FIRE PROTECTION,1.5-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Applicable fire-resistance design designations ofa qualified testing and inspecting 
agency acceptable to authorities having jurisdiction. 
",Applicable fire-resistance
418,078100,APPLIED FIRE PROTECTION,1.5-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Minimum sprayed fire-resistive material thicknesses needed to achieve required fire- 
resistance rating of each structural component and assembly.",Minimum sprayed
419,078100,APPLIED FIRE PROTECTION,1.5-B-4,ACTION SUBMITTALS,Shop Drawings,4. Treatment of sprayed fire-resistive material after application.,Treatment of sprayed
420,078100,APPLIED FIRE PROTECTION,1.6-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer and testing agency.,Qualification Data
421,078100,APPLIED FIRE PROTECTION,1.6-B,INFORMATIONAL SUBMITTALS,Certificates,Product Certificates : For each type of sprayed fire-resistive material.,Product Certificates
422,078100,APPLIED FIRE PROTECTION,1.6-C,INFORMATIONAL SUBMITTALS,Reports,"Evaluation Reports : For sprayed fire-resistive material, from ICC-ES.",Evaluation Reports
423,078100,APPLIED FIRE PROTECTION,1.6-D,INFORMATIONAL SUBMITTALS,Test Reports,Preconstruction Test Reports : For fire protection.,Preconstruction Test Reports
424,078100,APPLIED FIRE PROTECTION,1.6-E,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.,Field quality-control reports
425,078100,APPLIED FIRE PROTECTION,3.3-K,APPLICATION,Mockups,"Providea uniform finish complying with description indicated for each type of fire protection
material and matching finish approved for required mockups.",Providea uniform finish
426,078413,PENETRATION FIRESTOPPING,1.5-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.,Project site
427,078413,PENETRATION FIRESTOPPING,1.6-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product.,Product Data
428,078413,PENETRATION FIRESTOPPING,1.6-B-1,ACTION SUBMITTALS,Product Schedule,"1. Engineering Judgments: Where Project conditions require modification toa qualified 
testing and inspecting agency's illustration fora particular penetration firestopping 
system, submit illustration, with modifications marked, approved by penetration 
firestopping system manufacturer's fire-protection engineer as an engineering judgment 
 
or equivalent fire-resistance-rated assembly. Obtain approval of authorities having 
jurisdiction prior to submittal.",penetration firestopping system
429,078413,PENETRATION FIRESTOPPING,1.7-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer.,Qualification Data
430,078413,PENETRATION FIRESTOPPING,1.7-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each penetration firestopping system, for tests performed bya 
qualified testing agency.",Product Test Reports
431,078413,PENETRATION FIRESTOPPING,1.8-A,CLOSEOUT SUBMITTALS,Certificates,"Installer Certificates : From Installer indicating that penetration firestopping systems have been 
installed in compliance with requirements and manufacturer's written instructions.",manufacturer written instructions
432,078443,JOINT FIRESTOPPING,1.3-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.,Project site
433,078443,JOINT FIRESTOPPING,1.4-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product.,Product Data
434,078443,JOINT FIRESTOPPING,1.4-B-1,ACTION SUBMITTALS,Product Schedule,"1. Engineering Judgments: Where Project conditions require modification toa qualified 
testing agency's illustration fora particular joint firestopping system condition, submit 
illustration, with modifications marked, approved by joint firestopping system 
manufacturer's fire-protection engineer as an engineering judgment or equivalent fire- 
resistance-rated assembly.",joint firestopping system
435,078443,JOINT FIRESTOPPING,1.5-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer.,Qualification Data
436,078443,JOINT FIRESTOPPING,1.5-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each joint firestopping system, for tests performed bya qualified 
testing agency.",Product Test Reports
437,078443,JOINT FIRESTOPPING,1.6-A,CLOSEOUT SUBMITTALS,Certificates,"Installer Certificates : From Installer indicating that joint firestopping systems have been 
installed in compliance with requirements and manufacturer's written instructions.",manufacturer written instructions
438,079200,JOINT SEALANTS,1.3-A,ACTION SUBMITTALS,Product Data,Product Data : For each joint-sealant product.,Product Data
439,079200,JOINT SEALANTS,1.3-B,ACTION SUBMITTALS,Samples,"Samples for Initial Selection : Manufacturer's color charts consisting of strips of cured sealants 
showing the full range of colors available for each product exposed to view.",Manufacturer color charts
440,079200,JOINT SEALANTS,1.3-C-1,ACTION SUBMITTALS,Schedules,"1. Joint-sealant application, joint location, and designation.",Joint-sealant application
441,079200,JOINT SEALANTS,1.3-C-2,ACTION SUBMITTALS,Schedules,2. Joint-sealant manufacturer and product name.,Joint-sealant manufacturer
442,079200,JOINT SEALANTS,1.3-C-3,ACTION SUBMITTALS,Schedules,3. Joint-sealant formulation.,Joint-sealant formulation
443,079200,JOINT SEALANTS,1.3-C-4,ACTION SUBMITTALS,Schedules,4. Joint-sealant color.,Joint-sealant color
444,079200,JOINT SEALANTS,1.4-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For qualified testing agency.,Qualification Data
445,079200,JOINT SEALANTS,1.4-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each kind of joint sealant, for tests performed bya qualified testing 
agency.",Product Test Reports
446,079200,JOINT SEALANTS,1.4-C-1,INFORMATIONAL SUBMITTALS,Schedules,1. Joint-sealant location and designation.,Joint-sealant location
447,079200,JOINT SEALANTS,1.4-C-2,INFORMATIONAL SUBMITTALS,Schedules,2. Manufacturer and product name.,Manufacturer and product
448,079200,JOINT SEALANTS,1.4-C-3,INFORMATIONAL SUBMITTALS,Schedules,3. Type of substrate material.,Type of substrate
449,079200,JOINT SEALANTS,1.4-C-4,INFORMATIONAL SUBMITTALS,Schedules,4. Proposed test.,Proposed test
450,079200,JOINT SEALANTS,1.4-C-5,INFORMATIONAL SUBMITTALS,Schedules,5. Number of samples required.,Number of samples
451,079200,JOINT SEALANTS,1.4-D-1,INFORMATIONAL SUBMITTALS,Test Reports,"1. Materials forming joint substrates and joint-sealant backings have been tested for 
compatibility and adhesion with joint sealants.",Materials forming joint
