Spec Number,Spec Name,Para,Sub Section Heading,Submittal Type,Submittal Description
077200,ROOF ACCESSORIES,1.5-A-3,INFORMATIONAL SUBMITTALS,Coordination Drawings,"3. Other roof-mounted items including mechanical and electrical equipment, ductwork, 
piping, and conduit. (not being provided by equipment manufacturers)"
077200,ROOF ACCESSORIES,1.5-A-4,INFORMATIONAL SUBMITTALS,Coordination Drawings,4. Required clearances.
077200,ROOF ACCESSORIES,1.5-B,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranties : For manufacturer's special warranties.
077200,ROOF ACCESSORIES,1.6-A,CLOSEOUT SUBMITTALS,O&M Manuals,"Operation and Maintenance Data : For roof accessories to include in operation and maintenance 
manuals."
077200,ROOF ACCESSORIES,1.7-A-1,WARRANTY,Special Warranty,"1. Fluoropolymer Finish: Deterioration includes, but is not limited to, the following: 
a. Color fading more than 5 Delta E units when tested according to ASTM D2244. 
b. Chalking in excess ofa No. 8 rating when tested according to ASTM D4214. 
c. Cracking, checking, peeling, or failure of paint to adhere to bare metal."
077200,ROOF ACCESSORIES,1.7-A-2,WARRANTY,Special Warranty,2. Finish Warranty Period: 10 years from date of Substantial Completion.
077200,ROOF ACCESSORIES,2.1-B,PERFORMANCE REQUIREMENTS,Delegated-Design Submittal,"Delegated Design : Engagea qualified professional engineer, as defined in Section 014000 
""Quality Requirements,"" to design roof curbs and equipment supports to comply with wind
performance requirements, including comprehensive engineering analysis bya qualified
professional engineer, using performance requirements and design criteria indicated."
078100,APPLIED FIRE PROTECTION,1.4-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Review products, design ratings, restrained and unrestrained conditions, densities, 
thicknesses, bond strengths, and other performance requirements."
078100,APPLIED FIRE PROTECTION,1.5-A-1,ACTION SUBMITTALS,Product Data,1. Sprayed fire-resistive material.
078100,APPLIED FIRE PROTECTION,1.5-A-2,ACTION SUBMITTALS,Product Data,2. Substrate primers.
078100,APPLIED FIRE PROTECTION,1.5-A-3,ACTION SUBMITTALS,Product Data,3. Bonding agent.
078100,APPLIED FIRE PROTECTION,1.5-A-4,ACTION SUBMITTALS,Product Data,4. Metal lath.
078100,APPLIED FIRE PROTECTION,1.5-A-5,ACTION SUBMITTALS,Product Data,5. Reinforcing fabric.
078100,APPLIED FIRE PROTECTION,1.5-A-6,ACTION SUBMITTALS,Product Data,6. Sealer.
078100,APPLIED FIRE PROTECTION,1.5-A-7,ACTION SUBMITTALS,Product Data,7. Topcoat.
078100,APPLIED FIRE PROTECTION,1.5-B-1,ACTION SUBMITTALS,Shop Drawings,1. Extent of fire protection for each construction and fire-resistance rating.
078100,APPLIED FIRE PROTECTION,1.5-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Applicable fire-resistance design designations ofa qualified testing and inspecting 
agency acceptable to authorities having jurisdiction. 
"
078100,APPLIED FIRE PROTECTION,1.5-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Minimum sprayed fire-resistive material thicknesses needed to achieve required fire- 
resistance rating of each structural component and assembly."
078100,APPLIED FIRE PROTECTION,1.5-B-4,ACTION SUBMITTALS,Shop Drawings,4. Treatment of sprayed fire-resistive material after application.
078100,APPLIED FIRE PROTECTION,1.6-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer and testing agency.
078100,APPLIED FIRE PROTECTION,1.6-B,INFORMATIONAL SUBMITTALS,Certificates,Product Certificates : For each type of sprayed fire-resistive material.
078100,APPLIED FIRE PROTECTION,1.6-C,INFORMATIONAL SUBMITTALS,Reports,"Evaluation Reports : For sprayed fire-resistive material, from ICC-ES."
078100,APPLIED FIRE PROTECTION,1.6-D,INFORMATIONAL SUBMITTALS,Test Reports,Preconstruction Test Reports : For fire protection.
078100,APPLIED FIRE PROTECTION,1.6-E,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.
078100,APPLIED FIRE PROTECTION,3.3-K,APPLICATION,Mockups,"Providea uniform finish complying with description indicated for each type of fire protection
material and matching finish approved for required mockups."
078413,PENETRATION FIRESTOPPING,1.5-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.
078413,PENETRATION FIRESTOPPING,1.6-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product.
078413,PENETRATION FIRESTOPPING,1.6-B-1,ACTION SUBMITTALS,Product Schedule,"1. Engineering Judgments: Where Project conditions require modification toa qualified 
testing and inspecting agency's illustration fora particular penetration firestopping 
system, submit illustration, with modifications marked, approved by penetration 
firestopping system manufacturer's fire-protection engineer as an engineering judgment 
 
or equivalent fire-resistance-rated assembly. Obtain approval of authorities having 
jurisdiction prior to submittal."
078413,PENETRATION FIRESTOPPING,1.7-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer.
078413,PENETRATION FIRESTOPPING,1.7-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each penetration firestopping system, for tests performed bya 
qualified testing agency."
078413,PENETRATION FIRESTOPPING,1.8-A,CLOSEOUT SUBMITTALS,Certificates,"Installer Certificates : From Installer indicating that penetration firestopping systems have been 
installed in compliance with requirements and manufacturer's written instructions."
078443,JOINT FIRESTOPPING,1.3-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.
078443,JOINT FIRESTOPPING,1.4-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product.
078443,JOINT FIRESTOPPING,1.4-B-1,ACTION SUBMITTALS,Product Schedule,"1. Engineering Judgments: Where Project conditions require modification toa qualified 
testing agency's illustration fora particular joint firestopping system condition, submit 
illustration, with modifications marked, approved by joint firestopping system 
manufacturer's fire-protection engineer as an engineering judgment or equivalent fire- 
resistance-rated assembly."
078443,JOINT FIRESTOPPING,1.5-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer.
078443,JOINT FIRESTOPPING,1.5-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each joint firestopping system, for tests performed bya qualified 
testing agency."
078443,JOINT FIRESTOPPING,1.6-A,CLOSEOUT SUBMITTALS,Certificates,"Installer Certificates : From Installer indicating that joint firestopping systems have been 
installed in compliance with requirements and manufacturer's written instructions."
079200,JOINT SEALANTS,1.3-A,ACTION SUBMITTALS,Product Data,Product Data : For each joint-sealant product.
079200,JOINT SEALANTS,1.3-B,ACTION SUBMITTALS,Samples,"Samples for Initial Selection : Manufacturer's color charts consisting of strips of cured sealants 
showing the full range of colors available for each product exposed to view."
079200,JOINT SEALANTS,1.3-C-1,ACTION SUBMITTALS,Schedules,"1. Joint-sealant application, joint location, and designation."
079200,JOINT SEALANTS,1.3-C-2,ACTION SUBMITTALS,Schedules,2. Joint-sealant manufacturer and product name.
079200,JOINT SEALANTS,1.3-C-3,ACTION SUBMITTALS,Schedules,3. Joint-sealant formulation.
079200,JOINT SEALANTS,1.3-C-4,ACTION SUBMITTALS,Schedules,4. Joint-sealant color.
079200,JOINT SEALANTS,1.4-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For qualified testing agency.
079200,JOINT SEALANTS,1.4-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each kind of joint sealant, for tests performed bya qualified testing 
agency."
079200,JOINT SEALANTS,1.4-C-1,INFORMATIONAL SUBMITTALS,Schedules,1. Joint-sealant location and designation.
079200,JOINT SEALANTS,1.4-C-2,INFORMATIONAL SUBMITTALS,Schedules,2. Manufacturer and product name.
079200,JOINT SEALANTS,1.4-C-3,INFORMATIONAL SUBMITTALS,Schedules,3. Type of substrate material.
079200,JOINT SEALANTS,1.4-C-4,INFORMATIONAL SUBMITTALS,Schedules,4. Proposed test.
079200,JOINT SEALANTS,1.4-C-5,INFORMATIONAL SUBMITTALS,Schedules,5. Number of samples required.
079200,JOINT SEALANTS,1.4-D-1,INFORMATIONAL SUBMITTALS,Test Reports,"1. Materials forming joint substrates and joint-sealant backings have been tested for 
compatibility and adhesion with joint sealants."
079200,JOINT SEALANTS,1.4-D-2,INFORMATIONAL SUBMITTALS,Test Reports,"2. Interpretation of test results and written recommendations for primers and substrate 
preparation are needed for adhesion."
079200,JOINT SEALANTS,1.4-E,INFORMATIONAL SUBMITTALS,Test Reports,"Preconstruction Field-Adhesion-Test Reports : Indicate which sealants and joint preparation 
methods resulted in optimum adhesion to joint substrates based on testing specified in
""Preconstruction Testing"" Article."
079200,JOINT SEALANTS,1.4-F,INFORMATIONAL SUBMITTALS,Test Reports,Field-Adhesion-Test Reports : For each sealant application tested.
079200,JOINT SEALANTS,1.4-G,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranties : For special warranties.
079200,JOINT SEALANTS,1.5-C,QUALITY ASSURANCE,Mockups,"Mockups : Install sealant in mockups of assemblies specified in other Sections that are indicated 
to receive joint sealants specified in this Section. Use materials and installation methods
specified in this Section."
079200,JOINT SEALANTS,1.8-A-1,WARRANTY,Special Warranty,1. Warranty Period: Two years from date of Substantial Completion.
079200,JOINT SEALANTS,3.7-A-1,JOINT-SEALANT SCHEDULE,Schedules,1. Metal to Metal: Type PS-1
079200,JOINT SEALANTS,3.7-A-2,JOINT-SEALANT SCHEDULE,Schedules,2. Metal to Masonry: Type PS-1
079200,JOINT SEALANTS,3.7-A-3,JOINT-SEALANT SCHEDULE,Schedules,3. Masonry to Masonry: Type PS-1
079200,JOINT SEALANTS,3.7-A-4,JOINT-SEALANT SCHEDULE,Schedules,4. Threshold Setting Bed: Type PS-1
079200,JOINT SEALANTS,3.7-A-5,JOINT-SEALANT SCHEDULE,Schedules,5. Masonry Expansion and Control Joints: Type SS-1
079200,JOINT SEALANTS,3.7-A-6,JOINT-SEALANT SCHEDULE,Schedules,"6. Glazing Sealant: Type SS-2 
 
Sanitary Joints :"
079200,JOINT SEALANTS,3.7-A-1,JOINT-SEALANT SCHEDULE,Schedules,1. Walls to Plumbing Fixtures: Type SS-2
079200,JOINT SEALANTS,3.7-A-2,JOINT-SEALANT SCHEDULE,Schedules,2. Counter Tops to Walls: Type SS-2
079200,JOINT SEALANTS,3.7-A-3,JOINT-SEALANT SCHEDULE,Schedules,3. Pipe Penetrations: Type SS-2
079200,JOINT SEALANTS,3.7-A-4,JOINT-SEALANT SCHEDULE,Schedules,"4. Joints in ISO-8 or better spaces: Type SS-2 
 
Interior Caulking :"
079200,JOINT SEALANTS,3.7-A-1,JOINT-SEALANT SCHEDULE,Schedules,1. Typical Narrow Joint (1/4 inch) or less at Walls and Adjacent Components: Types LS-1
079200,JOINT SEALANTS,3.7-A-2,JOINT-SEALANT SCHEDULE,Schedules,"2. Perimeter of Doors, Windows, which Adjoin Concrete or Masonry Surfaces: Types LS-1"
079200,JOINT SEALANTS,3.7-A-3,JOINT-SEALANT SCHEDULE,Schedules,"3. Joints at Masonry Walls, Piers, Concrete Walls or Exterior Walls: Types LS-1"
079200,JOINT SEALANTS,3.7-A-4,JOINT-SEALANT SCHEDULE,Schedules,4. Wallboard Walls: Types LS-1
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes for expansion joint cover assemblies."
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, details, splices, block-out requirement, attachments to 
other work, and line diagrams showing entire route of each expansion joint."
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Where expansion joint cover assemblies change planes, provide isometric or clearly 
detailed drawing depicting how components interconnect."
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-1,ACTION SUBMITTALS,Schedules,1. Manufacturer and model number for each expansion joint cover assembly.
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-2,ACTION SUBMITTALS,Schedules,2. Expansion joint cover assembly location cross-referenced to Drawings.
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-3,ACTION SUBMITTALS,Schedules,"3. Nominal, minimum, and maximum joint width."
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-4,ACTION SUBMITTALS,Schedules,4. Movement direction.
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-5,ACTION SUBMITTALS,Schedules,"5. Materials, colors, and finishes."
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-6,ACTION SUBMITTALS,Schedules,6. Product options.
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.3-C-7,ACTION SUBMITTALS,Schedules,7. Fire-resistance ratings.
079513.13,INTERIOR EXPANSION JOINT COVER ASSEMBLIES,1.4-A,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each fire-resistance-rated expansion joint cover assembly, for tests 
performed by manufacturer and witnessed bya qualified testing agency."
081113,HOLLOW METAL DOORS AND FRAMES,1.5-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.
081113,HOLLOW METAL DOORS AND FRAMES,1.6-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, core descriptions, fire-resistance 
ratings and finishes."
081113,HOLLOW METAL DOORS AND FRAMES,1.6-B-1,ACTION SUBMITTALS,Shop Drawings,1. Elevations of each door type.
081113,HOLLOW METAL DOORS AND FRAMES,1.6-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Details of doors, including vertical- and horizontal-edge details and metal thicknesses."
081113,HOLLOW METAL DOORS AND FRAMES,1.6-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Frame details for each frame type, including dimensioned profiles and metal thicknesses."
081113,HOLLOW METAL DOORS AND FRAMES,1.6-B-4,ACTION SUBMITTALS,Shop Drawings,4. Locations of reinforcement and preparations for hardware.
081113,HOLLOW METAL DOORS AND FRAMES,1.6-B-5,ACTION SUBMITTALS,Shop Drawings,5. Details of each different wall opening condition.
081113,HOLLOW METAL DOORS AND FRAMES,1.6-B-6,ACTION SUBMITTALS,Shop Drawings,"6. Details of electrical raceway and preparation for electrified hardware, access control 
systems, and security systems."
081113,HOLLOW METAL DOORS AND FRAMES,1.6-B-7,ACTION SUBMITTALS,Shop Drawings,"7. Details of anchorages, joints, field splices, and connections."
081113,HOLLOW METAL DOORS AND FRAMES,1.6-B-8,ACTION SUBMITTALS,Shop Drawings,8. Details of accessories.
081113,HOLLOW METAL DOORS AND FRAMES,1.6-B-9,ACTION SUBMITTALS,Shop Drawings,"9. Details of moldings, removable stops, and glazing."
081113,HOLLOW METAL DOORS AND FRAMES,1.6-C,ACTION SUBMITTALS,Samples,"Samples for Initial Selection : For hollow-metal doors and frames with factory-applied color 
finishes.
RFI 037 - Confirm Samples Required
for DFH, Drywall, Toilet Acc, FP"
081113,HOLLOW METAL DOORS AND FRAMES,1.6-D,ACTION SUBMITTALS,Samples,Samples for Verification : Cabinets_CLOSED
081113,HOLLOW METAL DOORS AND FRAMES,1.6-D-1,ACTION SUBMITTALS,Samples,"Finishes: For each type of exposed finish required, prepared on Samples of not less than 3
by 5 inches."
081113,HOLLOW METAL DOORS AND FRAMES,1.6-D-2,ACTION SUBMITTALS,Fabrication,"Fabrication: Prepare Samples approximately 12 by 12 inches to demonstrate compliance
with requirements for quality of materials and construction:
a. Doors: Show vertical-edge, top, and bottom construction; core construction; and
hinge and other applied hardware reinforcement. Include separate section showing
glazing if applicable.
b. Frames: Show profile, corner joint, floor and wall anchors, and silencers. Include
separate section showing fixed hollow-metal panels and glazing if applicable."
081113,HOLLOW METAL DOORS AND FRAMES,1.6-E,ACTION SUBMITTALS,Product Schedule,"Product Schedule : For hollow-metal doors and frames, prepared by or under the supervision of 
supplier, using same reference numbers for details and openings as those on Drawings.
Coordinate with final door hardware schedule."
081113,HOLLOW METAL DOORS AND FRAMES,1.7-A-1,INFORMATIONAL SUBMITTALS,Qualification Data,"1. Fire-Rated Door Inspector: Submit documentation of compliance with NFPA 80, 
Section 5.2.3.1."
081113,HOLLOW METAL DOORS AND FRAMES,1.7-A-2,INFORMATIONAL SUBMITTALS,Qualification Data,"2. Egress Door Inspector: Submit documentation of compliance with NFPA 101, 
Section 7.2.1.15.4."
081113,HOLLOW METAL DOORS AND FRAMES,1.7-A-3,INFORMATIONAL SUBMITTALS,Qualification Data,3. Submit copy of DHI Fire and Egress Door Assembly Inspector (FDAI) certificate.
081113,HOLLOW METAL DOORS AND FRAMES,1.7-B,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For each type of fire-rated hollow-metal door and frame assembly and 
thermally rated door assemblies for tests performed bya qualified testing agency indicating
compliance with performance requirements."
081113,HOLLOW METAL DOORS AND FRAMES,1.7-C,INFORMATIONAL SUBMITTALS,Certifications,"Oversize Construction Certification : For assemblies required to be fire-rated and exceeding 
limitations of labeled assemblies."
081113,HOLLOW METAL DOORS AND FRAMES,1.7-D,INFORMATIONAL SUBMITTALS,Reports,Field quality control reports.
081113,HOLLOW METAL DOORS AND FRAMES,1.8-A,CLOSEOUT SUBMITTALS,As-Builts,"Record Documents : For fire-rated doors, list of door numbers and applicable room name and 
number to which door accesses."
083113,ACCESS DOORS AND FRAMES,1.4-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, fire ratings, material descriptions, dimensions of individual 
components and profiles, and finishes."
083113,ACCESS DOORS AND FRAMES,1.4-B,ACTION SUBMITTALS,Product Schedule,Product Schedule : For access doors and frames.
083323,OVERHEAD COILING DOORS,1.3-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components, 
profiles for slats, and finishes."
083323,OVERHEAD COILING DOORS,1.3-A-2,ACTION SUBMITTALS,Product Data,"2. Include rated capacities, operating characteristics, electrical characteristics, and furnished 
accessories."
083323,OVERHEAD COILING DOORS,1.3-A-3,ACTION SUBMITTALS,Product Data,3. Include description of automatic-closing device and testing and resetting instructions.
083323,OVERHEAD COILING DOORS,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, and mounting details."
083323,OVERHEAD COILING DOORS,1.3-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include details of equipment assemblies, and indicate dimensions, required clearances, 
method of field assembly, components, and location and size of each field connection."
083323,OVERHEAD COILING DOORS,1.3-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Include points of attachment and their corresponding static and dynamic loads imposed 
on structure."
083323,OVERHEAD COILING DOORS,1.3-B-4,ACTION SUBMITTALS,Shop Drawings,"4. For exterior components, include details of provisions for assembly expansion and 
contraction and for excluding and draining moisture to the exterior."
083323,OVERHEAD COILING DOORS,1.3-B-5,ACTION SUBMITTALS,Shop Drawings,"5. Show locations of controls, locking devices, and other accessories."
083323,OVERHEAD COILING DOORS,1.3-B-6,ACTION SUBMITTALS,Shop Drawings,"6. Include diagrams for power, signal, and control wiring."
083323,OVERHEAD COILING DOORS,1.3-C-1,ACTION SUBMITTALS,Samples,1. Include similar Samples of accessories involving color selection.
083323,OVERHEAD COILING DOORS,1.4-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer.
083323,OVERHEAD COILING DOORS,1.4-B,INFORMATIONAL SUBMITTALS,Certifications,"Oversize Construction Certification : For door assemblies required to be fire-rated and that 
exceed size limitations of labeled assemblies."
083323,OVERHEAD COILING DOORS,1.4-C,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranty : For special warranty.
083323,OVERHEAD COILING DOORS,1.5-A,CLOSEOUT SUBMITTALS,Special Warranty,Special warranty.
083323,OVERHEAD COILING DOORS,1.5-B,CLOSEOUT SUBMITTALS,Maintenance Data,Maintenance Data : For overhead coiling doors to include in maintenance manuals.
083323,OVERHEAD COILING DOORS,1.5-C,CLOSEOUT SUBMITTALS,As-Builts,"Record Documents : For fire-rated doors, list of door numbers and applicable room name and 
number to which door accesses."
083323,OVERHEAD COILING DOORS,1.7-A-1,WARRANTY,Special Warranty,1. Warranty Period: Two years from date of Substantial Completion.
083323,OVERHEAD COILING DOORS,3.6-A-1,MAINTENANCE SERVICE,Maintenance Data,"1. Perform maintenance, including emergency callback service, during normal working 
hours."
083323,OVERHEAD COILING DOORS,3.6-A-2,MAINTENANCE SERVICE,Maintenance Data,"2. Include 24-hour-per-day, seven-day-per-week, emergency callback service."
083323,OVERHEAD COILING DOORS,3.7-A,DEMONSTRATION,O&M Training And Demonstration,"Engagea factory-authorized service representative to train Owner's maintenance personnel to
adjust, operate, and maintain overhead coiling doors."
084313,ALUMINUM-FRAMED STOREFRONTS,1.10-A-1,WARRANTY,Special Warranty,"1. Failures include, but are not limited to, the following: 
a. Structural failures, including, but not limited to, excessive deflection. 
b. Noise or vibration created by wind and thermal and structural movements. 
c. Deterioration of metals, metal finishes, and other materials beyond normal 
weathering. 
d. Water penetration through fixed glazing and framing areas. 
e. Failure of operating components. 
"
084313,ALUMINUM-FRAMED STOREFRONTS,1.10-A-2,WARRANTY,Special Warranty,2. Warranty Period: 10 years from date of Substantial Completion.
084313,ALUMINUM-FRAMED STOREFRONTS,1.4-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes."
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include details of provisions for assembly expansion and contraction and for draining 
moisture occurring within the assembly to the exterior."
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include full-size isometric details of each type of vertical-to-horizontal intersection of 
aluminum-framed storefronts, showing the following: 
a. Joinery, including concealed welds. 
b. Anchorage. 
c. Expansion provisions. 
d. Glazing. 
e. Flashing and drainage. 
"
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Show connection to and continuity with adjacent thermal, weather, air, and vapor 
barriers."
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-C,ACTION SUBMITTALS,Samples,Samples for Initial Selection : For units with factory-applied color finishes.
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-D,ACTION SUBMITTALS,Samples,"Samples for Verification : For each type of exposed finish required, in manufacturer's standard 
sizes."
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-E-1,ACTION SUBMITTALS,Samples,"1. Joinery, including concealed welds."
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-E-2,ACTION SUBMITTALS,Samples,2. Anchorage.
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-E-3,ACTION SUBMITTALS,Samples,3. Expansion provisions.
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-E-4,ACTION SUBMITTALS,Samples,4. Glazing.
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-E-5,ACTION SUBMITTALS,Samples,5. Flashing and drainage.
084313,ALUMINUM-FRAMED STOREFRONTS,1.5-F,ACTION SUBMITTALS,Delegated-Design Submittal,"Delegated-Design Submittal : For aluminum-framed storefronts indicated to comply with 
performance requirements and design criteria, including analysis data signed and sealed by the
qualified professional engineer responsible for their preparation."
084313,ALUMINUM-FRAMED STOREFRONTS,1.6-A,INFORMATIONAL SUBMITTALS,Mockups,Preconstruction Laboratory Mockup Testing Submittals : -
084313,ALUMINUM-FRAMED STOREFRONTS,1.6-A-2,INFORMATIONAL SUBMITTALS,Test Reports,"Test Reports: Prepared bya qualified preconstruction testing agency for each mockup
test."
084313,ALUMINUM-FRAMED STOREFRONTS,1.6-A-3,INFORMATIONAL SUBMITTALS,Drawings,"Record Drawings: As-built drawings of preconstruction laboratory mockups showing
changes made during preconstruction laboratory mockup testing."
084313,ALUMINUM-FRAMED STOREFRONTS,1.6-B-1,INFORMATIONAL SUBMITTALS,Qualification Data,1. For Installer and field testing agency.
084313,ALUMINUM-FRAMED STOREFRONTS,1.6-B-2,INFORMATIONAL SUBMITTALS,Qualification Data,"2. For professional engineer's experience with providing delegated-design engineering 
services of the type indicated, including documentation that engineer is licensed in the 
jurisdiction in which Project is located."
084313,ALUMINUM-FRAMED STOREFRONTS,1.6-C-1,INFORMATIONAL SUBMITTALS,Certificates,"1. Basis for Certification: NFRC-certified energy performance values for each aluminum- 
framed storefront."
084313,ALUMINUM-FRAMED STOREFRONTS,1.6-D,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : For aluminum-framed storefronts, for tests performed bya qualified 
testing agency."
084313,ALUMINUM-FRAMED STOREFRONTS,1.6-F,INFORMATIONAL SUBMITTALS,Reports,Source quality-control reports.
084313,ALUMINUM-FRAMED STOREFRONTS,1.6-G,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.
084313,ALUMINUM-FRAMED STOREFRONTS,1.6-H,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranties : For special warranties.
084313,ALUMINUM-FRAMED STOREFRONTS,1.7-A,CLOSEOUT SUBMITTALS,Maintenance Data,Maintenance Data : For aluminum-framed storefronts to include in maintenance manuals.
084313,ALUMINUM-FRAMED STOREFRONTS,1.7-B,CLOSEOUT SUBMITTALS,Maintenance Data,"Maintenance Data for Structural Sealant : For structural-sealant-glazed storefront to include in 
maintenance manuals. Include ASTM C1401 recommendations for post-installation-phase
quality-control program."
087100,DOOR HARDWARE,1.12-A-1,WARRANTY,Special Warranty,"1. Failures include, but are not limited to, the following: 
a. Structural failures including excessive deflection, cracking, or breakage. 
b. Faulty operation of doors and door hardware. 
c. Deterioration of metals, metal finishes, and other materials beyond normal 
weathering and use."
087100,DOOR HARDWARE,1.12-A-2,WARRANTY,Special Warranty,"2. Warranty Period: Three years from date of Substantial Completion unless otherwise 
indicated below: 
a. Electromagnetic Locks: Five years from date of Substantial Completion. 
b. Exit Devices: Two years from date of Substantial Completion. 
c. Manual Closers: 10 years from date of Substantial Completion."
087100,DOOR HARDWARE,1.5-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Conference participants shall include Installer's Architectural Hardware Consultant and 
Owner's security consultant."
087100,DOOR HARDWARE,1.5-B-1,PREINSTALLATION MEETINGS,Meetings,"1. Conference participants shall include Installer's Architectural Hardware Consultant and 
Owner's security consultant."
087100,DOOR HARDWARE,1.5-B-2,PREINSTALLATION MEETINGS,Meetings,"2. Incorporate conference decisions into keying schedule after reviewing door hardware 
keying system including, but not limited to, the following: 
a. Flow of traffic and degree of security required. 
b. Preliminary key system schematic diagram. 
c. Requirements for key control system. 
d. Requirements for access control. 
e. Address for delivery of keys."
087100,DOOR HARDWARE,1.6-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes."
087100,DOOR HARDWARE,1.6-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include diagrams for power, signal, and control wiring."
087100,DOOR HARDWARE,1.6-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include details of interface of electrified door hardware and building safety and security 
systems."
087100,DOOR HARDWARE,1.6-C-1,ACTION SUBMITTALS,Samples,"1. Tag Samples with full product description to coordinate Samples with door hardware 
schedule."
087100,DOOR HARDWARE,1.6-D,ACTION SUBMITTALS,Samples,"Samples for Initial Selection : For each type of exposed finish. RFI 037 - Confirm Samples Required for DFH,
Drywall, Toilet Acc, FP Cabinets_CLOSED"
087100,DOOR HARDWARE,1.6-E-1,ACTION SUBMITTALS,Samples,"1. Sample Size: Full-size units or minimum 2-by-4-inch Samples for sheet and 4-inch long 
Samples for other products. 
a. Full-size Samples will be returned to Contractor. Units that are acceptable and 
remain undamaged through submittal, review, and field comparison process may, 
after final check of operation, be incorporated into the Work, within limitations of 
keying requirements."
